,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
2018/1,40,66,414,89,189,68,56,54
2018/2,35,69,448,87,185,56,54,52
2018/3,32,64,470,94,198,60,50,60
2018/4,31,63,542,97,198,70,54,76
2018/5,31,66,562,103,194,64,57,73
2018/6,34,69,574,96,193,64,67,65
2018/7,42,71,624,93,203,61,52,81
2018/8,45,73,634,92,196,65,56,91
2018/9,39,82,699,102,177,50,72,92
2018/10,37,78,610,110,183,59,90,124
2018/11,39,77,487,99,176,46,66,92
2018/12,38,66,443,93,184,55,59,84
2019/1,28,72,478,92,177,53,60,95
2019/2,20,69,406,93,169,64,56,94
2019/3,26,70,523,97,163,63,58,98
2019/4,36,73,616,105,156,67,65,113
2019/5,38,69,679,101,162,62,72,121
2019/6,44,73,649,95,153,61,63,120
2019/7,37,74,635,93,170,64,63,112
2019/8,40,77,674,94,176,59,65,110
2019/9,31,79,739,109,154,68,77,125
2019/10,38,81,708,115,157,63,96,121
2019/11,32,78,566,99,153,61,69,102
2019/12,44,76,452,86,159,68,56,100